,event_year,event_submissions,event_location 
0,1998,0.0,PR 
1,1999,0.0,SP 
2,2000,44.0,RS 
3,2001,103.0,SC 
4,2002,62.0,CE 
5,2004,44.0,PR 
6,2006,68.0,RN 
7,2008,114.0,RS 
8,2010,83.0,MG 
9,2011,100.0,PE 
10,2012,98.0,MT 
11,2013,98.0,AM 
12,2014,87.0,PR 
13,2015,138.0,BA 
14,2016,,SP 
15,2017,,SC 
